# name           file_location  xspb/lumipb  otherscale nMCevents       nMCNegEvents    colorcode       stackit
data	/store/user/jlawhorn/WWTree_2018_11_16_09h23/SingleMuon_2018_11_16_09h23.root 35867.06	1	1	0	1	0
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WplusToLNuZTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	1.938	1	1991348.0	0.0	400	1
Diboson	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_ZTo2LZTo2JJJ_QCD_LO_SM_MJJ100PTJ10_TuneCUETP8M1_13TeV-madgraph-pythia8.root	0.3449	1	49999.0	0.0	400	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_Summer16_ST_s_channel_4f_leptonDecays.root	11.36	1	999976.0	188501.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_ST_tW_antitop_5f_NoFullyHadronicDecays_13TeV_powheg_TuneCUETP8M1.root	19.5741	1	5424956.0	0.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_ST_tW_top_5f_NoFullyHadronicDecays_13TeV_powheg_TuneCUETP8M1.root	19.5741	1	5372830.0	0.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_Summer16_ST_t_channel_antitop_4f_inclusiveDecays_TuneCUETP8M2T4.root	80.95	1	3927980.0	0.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_Summer16_ST_t_channel_top_4f_inclusiveDecays_TuneCUETP8M2T4.root	136.02	1	5993570.0	0.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_TTToSemilepton_powheg.root	364.3	1	91832423.0	0.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_TTWJetsToLNu.root	0.2043	1	5280251.0	1282079.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_TTWJetsToQQ.root	0.4062	1	833257.0	201483.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_TTZToLLNuNu_M-10.root	0.2529	1	7969186.0	2126557.0	592	1
top	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_TTZToQQ.root	0.5297	1	749367.0	199113.0	592	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WJetsToLNu_HT_100To200_13TeV.root	1627.45	1	79165703.0	0.0	924	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WJetsToLNu_HT_1200To2500_13TeV.root	1.60809	1	6708656.0	0.0	924	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WJetsToLNu_HT_200To400_13TeV.root	435.24	1	29087430.0	0.0	924	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WJetsToLNu_HT_2500ToInf_13TeV.root	0.0389136	1	2520618.0	0.0	924	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WJetsToLNu_HT_400To600_13TeV.root	59.18	1	7754252.0	0.0	924	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WJetsToLNu_HT_600To800_13TeV.root	14.58	1	18578604.0	0.0	924	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WJetsToLNu_HT_800To1200_13TeV.root	6.655	1	7688957.0	0.0	924	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_DY1JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root	1012.296845	1	46443016.0	0.0	4	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_DY2JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root	334.717838	1	19296117.0	0.0	4	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_DY3JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root	102.4628	1	4866978.0	0.0	4	1
Vjets	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_DY4JetsToLL_M-50_TuneCUETP8M1_13TeV-madgraphMLM-pythia8.root	54.48136	1	2798791.0	0.0	4	1
QCD	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_QCD_HT1000to1500_13TeV.root	1207.0	1	13080692.0	0.0	420	1
QCD	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_QCD_HT100to200_13TeV.root	27990000.0	1	0.0	0.0	420	1
QCD	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_QCD_HT1500to2000_13TeV.root	119.9	1	11624720.0	0.0	420	1
QCD	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_QCD_HT2000toInf_13TeV.root	25.24	1	5875869.0	0.0	420	1
QCD	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_QCD_HT200to300_13TeV.root	1712000.0	1	0.0	0.0	420	1
QCD	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_QCD_HT300to500_13TeV.root	347700.0	1	17005515.0	0.0	420	1
QCD	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_QCD_HT500to700_13TeV.root	32100.0	1	53744436.0	0.0	420	1
QCD	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_QCD_HT700to1000_13TeV.root	6831.0	1	15578398.0	0.0	420	1
#VV	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WWTo1L1Nu2Q_13TeV_amcatnloFXFX_madspin_pythia8.root	49.997	1	5057358.0	953706.0	868	1
#VV	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WWZ_13TeV_amcatnlo_pythia8.root	0.1651	1	269990.0	15372.0	868	1
#VV	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_WZTo1L1Nu2Q.root	10.71	1	23766546.0	4986275.0	868	1
#VV	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_ZZTo2L2Q_13TeV_amcatnloFXFX_madspin_pythia8.root	3.22	1	15345161.0	2828391.0	868	1
#VV	/store/user/jlawhorn/WWTree_2018_11_16_09h23/WWTree_ZZZ_13TeV_amcatnlo_pythia8.root	0.01398	1	249232.0	18020.0	868	1
